date,Open,High,Low,Close,Volume,daily_return,rolling_5d_return,rolling_10d_vol,rolling_20d_vol,ma_diff_10,ma_diff_20,volume_change,label_up,future_return,avg_sentiment,std_sentiment,count_articles,sentiment_x_return
2022-01-04,30.223950007701305,30.414615328202974,28.299328692062627,29.238679885864258,527154000,-0.027588666824659703,0.0,0.0,0.0,1.3702964782714844,3.5135841369628906,0.3463364551382082,0,-0.05756238841359944,0.0,0.0,0,-0.0
2022-01-05,28.89827420780447,29.364456877758002,27.48475689863298,27.555631637573242,498064000,-0.05756238841359944,0.0,0.0,0.0,-0.31275177001953125,1.830535888671875,-0.05518311537046101,1,0.020794088109249983,0.0,0.0,0,-0.0
2022-01-06,27.591568449323077,28.388170524976964,27.017577109502056,28.128625869750977,454186000,0.020794088109249983,0.0,0.0,0.0,0.2602424621582031,2.4035301208496094,-0.08809711201773267,0,-0.03303997063638104,0.0,0.0,0,0.0
2022-01-07,28.091691414138594,28.372199176316535,27.009589286388195,27.199256896972656,409939000,-0.03303997063638104,-0.01947938755307804,0.0,0.0,-0.6691265106201172,1.474161148071289,-0.09742044008401844,1,0.005615401812199006,0.0,0.0,0,-0.0
2022-01-10,26.53442639235559,27.420871001183084,25.599067850438242,27.351991653442383,594681000,0.005615401812199006,-0.018356307190638237,0.0,0.0,-0.5163917541503906,1.6268959045410156,0.45065729291431167,1,0.015218975921110831,0.0,0.0,0,0.0
2022-01-11,27.27512701669273,28.015827528910936,26.79197578494251,27.768260955810547,404089000,0.015218975921110831,-0.009794778641484132,0.0,0.0,-0.10012245178222656,2.0431652069091797,-0.32049451722856453,1,0.006542746036937979,0.0,0.0,0,0.0
2022-01-12,28.017821375861725,28.544896110029402,27.559625985910053,27.949941635131836,383413000,0.006542746036937979,0.003026248248623351,0.0,0.0,0.0815582275390625,2.2248458862304688,-0.05116694589558241,0,-0.05085902862591656,0.0,0.0,0,0.0
2022-01-13,28.329272645820687,28.430095501153286,26.45156810766358,26.52843475341797,540171000,-0.05085902862591656,-0.011304375098409957,0.0,0.0,-1.3399486541748047,0.8033390045166016,0.40884894356738033,1,0.01380986070428672,0.0,0.0,0,-0.0
2022-01-14,26.25391352607578,27.149342969653407,26.16407108151607,26.89478874206543,395832000,0.01380986070428672,-0.0019344088302764059,0.028935811539156416,0.0,-0.9735946655273438,1.1696929931640625,-0.26720982799891146,0,-0.03856413355020331,0.0,0.0,0,0.0
2022-01-18,26.213989357999964,26.591327312716324,25.724848128999263,25.857614517211914,424270000,-0.03856413355020331,-0.010770315902756868,0.029903919026240955,0.0,-1.5897081375122077,0.13251876831054688,0.07184361042058247,0,-0.032274268695566675,0.0,0.0,0,-0.0
